moleq2,moleq3,temp,time,yld
1.27,0.12,37,12.9,5.4
1.91,0.13,30,5.2,3.3
31.76,0.16,49,14.5,50.9
37.79,0.02,42,9,0
3.83,0.13,65,7.6,29.3
41.19,0.13,30,13.4,56.1
42.17,0.17,34,8.1,54.7
7.77,0.18,70,7.2,44
7.16,0.19,30,9.9,39.8
7.65,0.2,61,9.6,47.3
15.5,0.2,37,11.1,56.6
2.86,0.16,40,10,18.2
1,0.17,55,14.9,1.6
3.03,0.2,69,6.2,16.4
2.37,0.2,67,8,17.6
1.15,0.19,30,5,5.3
1,0.19,62,15,2.7
9.46,0.15,69,11.6,39.2
1,0.17,51,8.7,5.1
5.58,0.2,41,11.5,38.9
1,0.18,45,7.3,6
4.51,0.2,35,6.9,26.2
1.07,0.17,70,5.3,3.1
25.12,0.13,70,11.4,30.8
1.16,0.2,50,11.9,8.2
3.22,0.2,63,15,17.4
4.71,0.2,32,5.1,21.5
7.13,0.19,70,6.5,44.6
7.87,0.2,56,6.8,51.7
14.91,0.2,67,11.6,43.2
5.61,0.2,58,14.2,40.5
16.73,0.14,52,13.1,52.8
1,0.19,67,5,4.8
13.55,0.19,32,5.6,41.2
13.93,0.19,66,5.4,51.5
3.89,0.19,49,6.3,28.4
6.91,0.2,30,15,44.6
9.48,0.2,47,11.8,53.9
27.8,0.2,68,6.2,47.1
2.33,0.2,67,15,13.7
43.57,0.2,53,6.7,50.8
11.04,0.19,44,11.8,55.5
16.58,0.19,69,11.6,40.3
1,0.15,31,9.4,5
9.36,0.2,36,6.6,46
12.87,0.2,53,6.6,56.1
10.24,0.19,31,6.4,38.3
41.77,0.19,30,13.2,54.4
1,0.2,53,6.4,6.4
2.3,0.19,30,12.2,12.3
15.65,0.2,45,13.5,55.8
9.43,0.2,46,10.2,52.7
18.58,0.19,38,7.5,55.9
8.65,0.2,57,8.1,51.7
4.11,0.19,63,10.6,30.5
13.43,0.18,38,5,49.3
10.94,0.2,34,6.3,44.6
12.01,0.2,38,13.4,55.6
9.9,0.16,39,10.4,54.6
13.51,0.19,51,7,56.9
1.66,0.16,70,13.8,6.5
15.55,0.2,53,10.6,53.2
7.88,0.2,69,9.4,41.6
14.04,0.18,59,10.9,50.3
40.4,0.2,67,14.8,29.2
11.47,0.2,53,10.6,53.3
19.99,0.2,59,12.7,48.9
16.75,0.19,51,8,56.4
10.31,0.17,35,6.9,47.8
8.51,0.17,30,5.9,33.3
10.35,0.2,30,9.4,44.1
8.89,0.19,70,10.5,40.4
9.91,0.2,64,5,52.5
8.31,0.2,65,15,39.5
6.19,0.2,55,7.4,47.6
7.75,0.19,60,5,52.3
22.12,0.2,70,5,49.3
3.53,0.2,51,8.3,24.5
6.15,0.2,57,5,48.4
12.04,0.2,43,5,53.5
8.71,0.18,44,11.5,53.7
9.88,0.2,70,8.8,43.6
6.14,0.19,30,7.2,26.9
7.33,0.2,49,12.6,0
1,0.2,48,9.6,0
1.96,0.2,61,11.6,0
1,0.2,57,13.8,0
1,0.2,40,15,3.9
1,0.2,54,6.4,3.2
1,0.2,64,5.5,4.6
1,0.2,58,5.2,6.2
11.51,0.2,70,14,36.7
1.18,0.2,62,14.7,2.6
1,0.2,67,8.7,4.6
5.7,0.2,31,6.1,27.6
3.81,0.19,59,5,29
1,0.19,57,7.9,4.2
4.94,0.2,44,7.9,40.4
15.82,0.2,32,14.4,52.7
1,0.2,44,7.2,7
10.47,0.19,55,5.4,55.4
17.29,0.2,61,6.9,53.1
4.04,0.2,62,10.4,29.4
1,0.15,34,10.2,6.2
1,0.2,43,6.9,8
3.42,0.2,40,5.8,17.9
3.21,0.2,54,5.6,23.7
1,0.19,33,8.1,6
3.91,0.2,39,7.4,24.9
2.2,0.2,52,7.1,15.1
11.52,0.2,44,11,55
1,0.19,51,7.7,5.6
10.38,0.17,50,9.9,54.5
4.8,0.18,67,8,37.1
3.69,0.2,47,8.4,25.4
2.9,0.2,55,7.6,21.2
2.18,0.19,55,6.1,14.1
8.7,0.2,57,14,47.5
11,0.2,57,6,54.8
3.2,0.19,37,6.7,18.2
13.65,0.2,60,7.4,53.1
1,0.2,35,7.5,6.7
12.16,0.2,58,7.9,52.9
1,0.17,35,11.9,6.5
12.19,0.18,68,14.2,38.6
2.75,0.19,51,8.4,20.2
12.9,0.2,57,9.7,52.7
1,0.2,70,6,3.4
1,0.18,38,6.7,6.7
3.49,0.19,57,8.8,24.3
1,0.2,33,8.3,5.3
43.57,0.2,70,5,
